[2025-09-06T10:05:57.117Z] [INFO] Processing file: drug-label-0001-of-0013.json
[2025-09-06T10:05:57.126Z] [ERROR] Error in uncaught exception: The "chunk" argument must be of type string or an instance of Buffer, TypedArray, or DataView. Received an instance of Object
[2025-09-06T13:06:50.605050] [INFO] Starting FDA drug label processing with Python
[2025-09-06T13:06:50.605675] [INFO] Found 13 JSON files to process
[2025-09-06T13:06:50.605766] [INFO] 
=== Processing file 1/13: drug-label-0001-of-0013.json ===
[2025-09-06T13:06:50.605863] [INFO] Processing file: drug-label-0001-of-0013.json
[2025-09-06T13:06:50.606042] [INFO] File size: 618.07 MB
[2025-09-06T13:06:53.872880] [INFO] Found 20000 records in drug-label-0001-of-0013.json
[2025-09-06T13:06:53.873713] [INFO] Split into 400 chunks of up to 50 records each
[2025-09-06T13:06:53.873812] [INFO] Processing chunk 1/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.873924] [INFO] Processing chunk 2/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874025] [INFO] Processing chunk 3/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874122] [INFO] Processing chunk 4/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874224] [INFO] Processing chunk 5/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874323] [INFO] Processing chunk 6/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874419] [INFO] Processing chunk 7/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874507] [INFO] Processing chunk 8/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874600] [INFO] Processing chunk 9/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874690] [INFO] Processing chunk 10/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874781] [INFO] Processing chunk 11/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874871] [INFO] Processing chunk 12/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.874963] [INFO] Processing chunk 13/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875061] [INFO] Processing chunk 14/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875152] [INFO] Processing chunk 15/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875242] [INFO] Processing chunk 16/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875336] [INFO] Processing chunk 17/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875427] [INFO] Processing chunk 18/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875521] [INFO] Processing chunk 19/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875616] [INFO] Processing chunk 20/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875707] [INFO] Processing chunk 21/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875804] [INFO] Processing chunk 22/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875900] [INFO] Processing chunk 23/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.875993] [INFO] Processing chunk 24/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876086] [INFO] Processing chunk 25/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876173] [INFO] Processing chunk 26/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876261] [INFO] Processing chunk 27/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876353] [INFO] Processing chunk 28/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876446] [INFO] Processing chunk 29/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876544] [INFO] Processing chunk 30/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876635] [INFO] Processing chunk 31/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876725] [INFO] Processing chunk 32/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876818] [INFO] Processing chunk 33/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.876912] [INFO] Processing chunk 34/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877007] [INFO] Processing chunk 35/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877178] [INFO] Processing chunk 36/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877280] [INFO] Processing chunk 37/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877374] [INFO] Processing chunk 38/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877471] [INFO] Processing chunk 39/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877565] [INFO] Processing chunk 40/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877656] [INFO] Processing chunk 41/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877746] [INFO] Processing chunk 42/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877834] [INFO] Processing chunk 43/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.877922] [INFO] Processing chunk 44/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878014] [INFO] Processing chunk 45/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878104] [INFO] Processing chunk 46/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878192] [INFO] Processing chunk 47/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878279] [INFO] Processing chunk 48/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878370] [INFO] Processing chunk 49/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878457] [INFO] Processing chunk 50/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878544] [INFO] Processing chunk 51/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878632] [INFO] Processing chunk 52/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878726] [INFO] Processing chunk 53/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878814] [INFO] Processing chunk 54/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878905] [INFO] Processing chunk 55/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.878994] [INFO] Processing chunk 56/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879082] [INFO] Processing chunk 57/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879171] [INFO] Processing chunk 58/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879260] [INFO] Processing chunk 59/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879348] [INFO] Processing chunk 60/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879452] [INFO] Processing chunk 61/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879543] [INFO] Processing chunk 62/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879634] [INFO] Processing chunk 63/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879720] [INFO] Processing chunk 64/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.879809] [INFO] Processing chunk 65/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.881501] [INFO] Processing chunk 66/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.881615] [INFO] Processing chunk 67/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.881719] [INFO] Processing chunk 68/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.881819] [INFO] Processing chunk 69/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.881917] [INFO] Processing chunk 70/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882014] [INFO] Processing chunk 71/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882110] [INFO] Processing chunk 72/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882208] [INFO] Processing chunk 73/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882309] [INFO] Processing chunk 74/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882408] [INFO] Processing chunk 75/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882514] [INFO] Processing chunk 76/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882612] [INFO] Processing chunk 77/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882710] [INFO] Processing chunk 78/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882808] [INFO] Processing chunk 79/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.882958] [INFO] Processing chunk 80/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883064] [INFO] Processing chunk 81/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883163] [INFO] Processing chunk 82/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883261] [INFO] Processing chunk 83/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883360] [INFO] Processing chunk 84/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883459] [INFO] Processing chunk 85/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883568] [INFO] Processing chunk 86/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883699] [INFO] Processing chunk 87/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883814] [INFO] Processing chunk 88/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.883918] [INFO] Processing chunk 89/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.884156] [INFO] Processing chunk 90/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.884362] [INFO] Processing chunk 91/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.884551] [INFO] Processing chunk 92/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.884758] [INFO] Processing chunk 93/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.884943] [INFO] Processing chunk 94/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885076] [INFO] Processing chunk 95/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885187] [INFO] Processing chunk 96/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885295] [INFO] Processing chunk 97/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885399] [INFO] Processing chunk 98/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885531] [INFO] Processing chunk 99/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885662] [INFO] Processing chunk 100/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885774] [INFO] Processing chunk 101/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885877] [INFO] Processing chunk 102/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.885976] [INFO] Processing chunk 103/400 from drug-label-0001-of-0013.json
[2025-09-06T13:06:53.886079] [INFO] Processing chunk 104/400 from drug-label-0001-of-0013.json
